,rank,company,percent,region,continent,Alpha-2 code,English short name lower case,Alpha-3 code,Numeric code,ISO 3166-2
74,61,Petoro AS,0.21,Europe,EU,NO,Norway,NOR,578,ISO 3166-2:NO
23,62,Devon Energy Corp,0.2,North America,,US,United States,USA,840,ISO 3166-2:US
24,63,Natural Resource Partners LP,0.19,North America,,US,United States,USA,840,ISO 3166-2:US
25,64,Marathon Oil Corp,0.19,North America,,US,United States,USA,840,ISO 3166-2:US
26,65,Vistra Energy,0.19,North America,,US,United States,USA,840,ISO 3166-2:US
27,66,Encana Corp,0.18,North America,,US,United States,USA,840,ISO 3166-2:US
90,67,Canadian Natural Resources Ltd,0.17,North America,,CA,Canada,CAN,124,ISO 3166-2:CA
28,68,Hess Corp,0.16,North America,,US,United States,USA,840,ISO 3166-2:US
62,69,Exxaro Resources Ltd,0.16,Africa,AF,ZA,South Africa,ZAF,710,ISO 3166-2:ZA
92,70,YPF SA,0.15,Latin America,SA,AR,Argentina,ARG,32,ISO 3166-2:AR
29,71,Apache Corp,0.15,North America,,US,United States,USA,840,ISO 3166-2:US
30,72,Murray Coal,0.15,North America,,US,United States,USA,840,ISO 3166-2:US
31,73,Alliance Resource Partners LP,0.15,North America,,US,United States,USA,840,ISO 3166-2:US
93,74,Syrian Petroleum Co,0.15,Asia,AS,SY,Syrian Arab Republic,SYR,760,ISO 3166-2:SY
12,75,Novatek OAO,0.14,Europe,EU,RU,Russian Federation,RUS,643,ISO 3166-2:RU
32,76,NACCO Industries Inc,0.13,North America,,US,United States,USA,840,ISO 3166-2:US
72,77,KazMunayGas,0.13,Asia,AS,KZ,Kazakhstan,KAZ,398,ISO 3166-2:KZ
66,78,Adaro Energy PT,0.13,Asia,AS,ID,Indonesia,IDN,360,ISO 3166-2:ID
94,79,Petroleos del Ecuador,0.12,Latin America,SA,EC,Ecuador,ECU,218,ISO 3166-2:EC
95,80,Inpex Corp,0.12,Asia,AS,JP,Japan,JPN,392,ISO 3166-2:JP
33,81,Kiewit Mining Group,0.12,North America,,US,United States,USA,840,ISO 3166-2:US
